Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
terrStoneHelperDesc,,blocks,Terrain,newKey,Used for caves and cellars in POI.\nWill spawn a stone terrain block - or sandstone in the desert.,,,,,
terrStoneUnstable,,blocks,Terrain,newKey,Unstable Stone,,,,,
terrStoneUnstableDesc,,blocks,Terrain,newKey,Stone blocks within ore veins are much less stable than usual.,,,,,
terrTopSoil,,blocks,Terrain,newKey,Topsoil,,,,,
terrTopSoilDesc,,blocks,Terrain,newKey,A topsoil block is technically dirt but the texture will adapt to the biome ground.,,,,,
terrWaterPOI,,blocks,Terrain,--,Water Block (POI),Source d'eau 8,Wasserquelle 8,,Fuente de agua 8,
terrWaterPOIDesc,,blocks,Terrain,newKey,This is the water block that should be used in POI.,,,,,
barbedFence,,blocks,Trap,--,Barbed Wire Fence,Clôture en barbelé,Stacheldrahtzaun,,Alambrada de púas,
barbedFenceDesc,,blocks,Trap,--,"Barbed wire fences made from wood and iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,"Stacheldrahtzäune aus Holz und Eisen können Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere sie mit der sekundären Aktion.",,,
barbedWireSheet,,blocks,Trap,--,Barbed Wire,Barbelé,Stacheldraht,,Cable con pinchos,
barbedWireSheetDesc,,blocks,Trap,--,"Barbed wire made from iron can slow down enemies, making them easier to deal with. Place it by using the secondary action.",,"Stacheldraht aus Eisen kann Gegner verlangsamen, wodurch man einfacher mit ihnen fertig wird. Platziere ihn mit der sekundären Aktion.",,,
mineAirFilter,,blocks,Trap,--,Air Filter Land Mine,Mine terrestre avec filtre à air,Luftfiltermine,,Mina terrestre hecha con un filtro de aire,
mineAirFilterDesc,,blocks,Trap,--,Place mine and step back carefully. Turns zombies into good zombies!,Placez la mine et reculez prudemment. Elle transforme les zombies en bons zombies !,Platziere die Mine und tritt vorsichtig zurück. Verwandelt Zombies in gute Zombies!,,Coloca la mina y retrocede con cuidado. ¡Convierte a los zombis en zombis buenos!,
mineCandyTin,,blocks,Trap,--,Tin Land Mine,Mine terrestre en fer-blanc,Bonbondosen-Mine,,Mina terrestre hecha con una lata,
mineCandyTinDesc,,blocks,Trap,--,A candy tin land mine. Trick or treat!,Mine construite à partir d'une boîte de bonbons. Des bonbons ou un sort !,Eine Mine bestehend aus einer Bonbondose. Süßes oder Saures!,,Una mina terrestre hecha con una lata de caramelos ¡Truco o trato!,
mineCookingPot,,blocks,Trap,newKey,Cooking Pot Mine,,,,,
mineCookingPotDesc,,blocks,Trap,newKey,Can you smell what this survivor is cooking? It probably isn't healthy.,,,,,
mineHubcap,,blocks,Trap,--,Hubcap Land Mine,Mine terrestre en enjoliveurs,Radkappenmine,,Mina terrestre de tapacubos,
mineHubcapDesc,,blocks,Trap,--,A hubcap land mine. Place it on the ground and let the fun begin.,Une mine construite à partir d'enjoliveurs. Placez-la au sol et profitez du spectacle.,Eine Mine bestehend aus einer Radkappe. Platziere sie auf dem Boden und der Spaß kann beginnen.,,Una mina terrestre hecha con un tapacubos. Colócala en el suelo y... ¡que empiece la fiesta!,
rScrapIronLogSpike5,,blocks,Trap,--,R Iron Log Spike 5,Pique renforcé en rondin et en ferraille 5,Verstärkte Alteisenspitze 5,,Pincho 5 de troncos de chatarra de hierro reforzado,
rScrapIronPlateMine,,blocks,Trap,--,Pressure Plate Mine,Mine à déclencheur,Druckplattenmine,,Mina hecha con una placa de presión,
rScrapIronPlateMineDesc,,blocks,Trap,--,A primitive pressure plate mine made of iron and gunpowder. Good for hobbling or killing most enemies.,,"Eine primitive Druckplattenmine aus Eisen und Schießpulver. Gut, um die meisten Gegner zu verstümmeln oder töten.",,,
rWoodLogSpike2,,blocks,Trap,--,Reinforced Wood Log Spike 2,Pique en rondin de bois renforcé 2,Verstärkter spitzer Stamm 2,,Pincho de tronco de madera reforzado 2,
rWoodMetalLogSpike3,,blocks,Trap,--,Reinforced Wood Metal Log Spike 3,Pique en rondin de bois et de métal renforcé 3,Metallverstärkter spitzer Stamm 3,,Pincho de tronco de metal y madera reforzado 3,
scrapIronLogSpike4,,blocks,Trap,--,Iron Log Spike,Pique en rondin et en ferraille,Alteisenspitze,,Pincho de troncos de chatarra de hierro,
steelLogSpike6,,blocks,Trap,--,Steel Log Spike 6,,Stahlspitze 6,,,
trapSpikesDamage1,,blocks,Trap,--,Trap Spikes Damage 1,Piques de piège abîmées 1,Stacheln für Fallen – Schaden 1,,Daño de trampa de pinchos 1,
trapSpikesDamage2,,blocks,Trap,--,Trap Spikes Damage 2,Piques de piège abîmées 2,Stacheln für Fallen – Schaden 2,,Daño de trampa de pinchos 2,
trapSpikesDamage3,,blocks,Trap,--,Trap Spikes Damage 3,Piques de piège abîmées 3,Stacheln für Fallen – Schaden 3,,Daño de trampa de pinchos 3,
trapSpikesDamage4,,blocks,Trap,--,Trap Spikes Damage 4,Piques de piège abîmées 4,Stacheln für Fallen – Schaden 4,,Daño de trampa de pinchos 4,
trapSpikesDamage5,,blocks,Trap,--,Trap Spikes Damage 5,Piques de piège abîmées 5,Stacheln für Fallen – Schaden 5,,Daño de trampa de pinchos 5,
trapSpikesGroupDesc,,blocks,Trap,newKey,Spike traps are your first and earliest line of defense. They slow down and damage enemies. Place them using the secondary action.,,,,,
trapSpikesIronDmg0,,blocks,Trap,newKey,Iron Spikes Trap,,,,,
trapSpikesIronDmg1,,blocks,Trap,newKey,Iron Spikes Trap 1,,,,,
trapSpikesIronDmg2,,blocks,Trap,newKey,Iron Spikes Trap 2,,,,,
trapSpikesNew,,blocks,Trap,--,Wood Spikes,Piques en bois,Holzstacheln,,Pinchos de madera,
trapSpikesNewDesc,,blocks,Trap,--,"Wood spike traps can damage, cripple, even kill most enemies. Place them using the secondary action.","Les pièges avec des piques en bois peuvent infliger des dégâts à la plupart des ennemis, voire les handicaper ou les tuer. Placez-les à l'aide de l'action secondaire.","Fallen mit Holzstacheln können den meisten Gegnern schaden, sie lähmen und sogar töten. Platziere sie mit der sekundären Aktion.",,"Las trampas de pinchos de madera pueden dañar, lisiar e incluso matar a la mayoría de los enemigos. Usa la acción secundaria para colocarlas.",
trapSpikesWoodDmg0,,blocks,Trap,newKey,Wood Spikes Trap,,,,,
trapSpikesWoodDmg1,,blocks,Trap,newKey,Wood Spikes Trap 1,,,,,
trapSpikesWoodDmg2,,blocks,Trap,newKey,Wood Spikes Trap 2,,,,,
woodLogSpike1,,blocks,Trap,--,Wood Log Spike,Pique en rondin de bois,Spitzer Stamm,,Pinchos de troncos de madera,
woodLogSpike1Desc,,blocks,Trap,--,"Log spike traps can damage, cripple, even kill enemies and last longer than spike traps. Place them using the secondary action. (Upgradable)","Les pièges avec des piques en rondin de bois peuvent infliger des dégâts aux ennemis, voire les handicaper ou les tuer. Ils durent plus longtemps que les pièges avec des piques. Placez-les à l'aide de l'action secondaire. (Améliorable)","Fallen mit spitzen Stämmen können Gegnern schaden, sie lähmen und sogar töten. Sie halten länger als Stachelfallen. Platziere sie mit der sekundären Aktion. (Aufwertbar)",,"Las trampas de pinchos de troncos de madera pueden dañar, lisiar e incluso matar a enemigos, y duran más que las trampas de pinchos. Usa la acción secundaria para colocarlas. (Se pueden mejorar).",
awningBlockVariantHelper,,blocks,Variant,newKey,Awning Block,,,,,
blockVariantHelperGroupDesc,,blocks,Variant,newKey,Put the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.,,,,,
brickBlockVariantHelper,,blocks,Variant,newKey,Brick Block,,,,,
flagstoneBlockVariantHelper,,blocks,Variant,newKey,Flagstone Block,,,,,
glassBlockVariantHelper,,blocks,Variant,newKey,Glass Block,,,,,
glassBulletproofBlockVariantHelper,,blocks,Variant,newKey,Bulletproof Glass Block,,,,,
metalFenceRailingTrellisSheetBlockVariantHelper,,blocks,Variant,newKey,Metal Fences and Railings,,,,,
metalFurnitureBlockVariantHelper,,blocks,Variant,newKey,Metal Furniture,,,,,
metalFurnitureBlockVariantHelperDesc,,blocks,Variant,newKey,"Craft various metal cabinets, furniture, storage, and decor with this helper block.\n\nPut the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.",,,,,
metalSignLetterNumberBlockVariantHelper,,blocks,Variant,newKey,Metal Letters / Numbers,,,,,
metalTrussingIBeamBlockVariantHelper,,blocks,Variant,newKey,Metal Trussing / I-Beams,,,,,
pouredConcreteBlockVariantHelper,,blocks,Variant,newKey,Wet Concrete Block,,,,,
rebarFrameBlockVariantHelper,,blocks,Variant,newKey,Rebar Frame Block,,,,,
sandbagBlockVariantHelper,,blocks,Variant,newKey,Sandbags,,,,,
scrapIronFrameBlockVariantHelper,,blocks,Variant,newKey,Iron Frame Block,,,,,
sectionalLeatherCouchSofaBlockVariantHelper,,blocks,Variant,newKey,Sectional Leather Couch,,,,,
sectionalPlaidCouchSofaBlockVariantHelper,,blocks,Variant,newKey,Sectional Old Couch,,,,,
toiletBlockVariantHelper,,blocks,Variant,newKey,Toilet,,,,,
woodCatwalkBlockVariantHelper,,blocks,Variant,newKey,Wood CatWalks / Stairs,,,,,
woodCatwalkBlockVariantHelperDesc,,blocks,Variant,newKey,"Craft various wooden catwalks, stairs and pallets with this helper block.\n\nPut the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.",,,,,
woodFenceRailingTrellisSheetBlockVariantHelper,,blocks,Variant,newKey,Wood Fences and Railings,,,,,
woodFenceRailingTrellisSheetBlockVariantHelperDesc,,blocks,Variant,newKey,Craft various wood fences and railings with this helper block.\n\nPut the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.,,,,,
woodFrameBlockVariantHelper,,blocks,Variant,newKey,Wood Frame Block,,,,,
woodFurnitureBlockVariantHelper,,blocks,Variant,newKey,Wooden Storage / Furniture,,,,,
woodFurnitureBlockVariantHelperDesc,,blocks,Variant,newKey,"Craft various wooden cabinets, furniture, storage and decor with this helper block.\n\nPut the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.",,,,,
woodSignBlockVariantHelper,,blocks,Variant,newKey,Wooden Signs,,,,,
woodSignBlockVariantHelperDesc,,blocks,Variant,newKey,"Craft various wooden signs, some of which you can write on with this helper block.\n\nPut the crafted block on your hotbar and use the Reload action to open the selection window. Click or Shift-Click to select a variant to build with.",,,,,
campfire,,blocks,Workstation,--,Campfire,Feu de camp,Lagerfeuer,,Fogata,
campfireDesc,,blocks,Workstation,--,"Useful to cook food and warm up. Unlock more recipes by adding a cooking pot, cooking grill or beaker.","Utile pour cuisiner de la nourriture et se réchauffer. Déverrouillez d'autres compositions en ajoutant une marmite, un grill ou un bécher.","Nützlich zum Kochen von Nahrung und zum Aufwärmen. Schalte mehr Rezepte frei, indem du einen Kochtopf, Kochgrill oder Messbecher hinzufügst.",,"Útil para cocinar comida y calentarse. Añade una olla, una parrilla o un matraz para desbloquear más recetas.",
cementMixer,,blocks,Workstation,--,Cement Mixer,Bétonnière,Zementmischer,,Mezclador de cemento,
cementMixerDesc,,blocks,Workstation,textChanged,A cement mixer will help you craft materials like concrete mix or asphalt.,Une bétonnière nécessite une base solide et vous aidera à fabriquer des matériaux comme le béton ou l'asphalte.,"Ein Zementmischer dient zur Fertigung von Betonmischung, Asphalt, Dünger und anderen Rohstoffen.",,Una mezcladora de cemento necesita una base sólida. Te ayudará a fabricar materiales como hormigón o asfalto.,
cementMixerSchematic,,blocks,Workstation,newKey,Cement Mixer Schematic,,,,,
chemistryStation,,blocks,Workstation,--,Chemistry Station,,Chemietisch,,,
chemistryStationDesc,,blocks,Workstation,--,With the proper equipment you can work far more efficiently than on a campfire.,,Mit der richtigen Ausrüstung kannst du effektiver arbeiten als mit einem Messbecher am Lagerfeuer.,,,
chemistryStationSchematic,,blocks,Workstation,newKey,Chemistry Station Schematic,,,,,
forge,,blocks,Workstation,--,Forge,Forge,Schmiede,,Fragua,
forgeDesc,,blocks,Workstation,--,Used to smelt metals to craft tools and weapons or stone to craft cement. Unlock more recipes through perks. Install tools to increase performance or unlock recipes.,"Sert à faire fondre des métaux pour en faire des outils ou des armes. Déverrouillez d'autres compositions en ajoutant une enclume, un pied à coulisse ou un lot de matrices et d'outils.","Dient zum Einschmelzen von Metallen für Werkzeuge und Waffen. Schalte mehr Rezepte frei, indem du einen Amboss, einen Messschieber oder eine Werkzeugkiste hinzufügst.",,"Se usa para fundir metales y convertirlos en herramientas y armas. Añade un yunque, calibradores o herramientas y un juego de ajuste para desbloquear más recetas.",
forgeSchematic,,blocks,Workstation,newKey,Forge Schematic,,,,,
tableSaw,,blocks,Workstation,newKey,Table Saw,,,,,
tableSawDesc,,blocks,Workstation,newKey,"Create furniture, advanced shapes and decorations for your base.",,,,,
tableSawSchematic,,blocks,Workstation,newKey,Table Saw Schematic,,,,,
workbench,,blocks,Workstation,--,Workbench,Établi,Werkbank,,Mesa de trabajo,
workbenchDesc,,blocks,Workstation,--,Many advanced crafting recipes require a workbench. On a workbench you can also craft all items that you can craft in your backpack.,Un établi vous permet de fabriquer des objets comme vous le faites dans votre sac à dos.,Mit einer Werkbank kannst du genauso wie in deinem Rucksack Gegenstände fertigen.,,"Una mesa de trabajo te permite fabricar objetos, igual que en la mochila.",
workbenchSchematic,,blocks,Workstation,newKey,Workbench Schematic,,,,,
metalRailing3dBroke,,blocks,,newKey,Broken Metal Railing,,,,,
buffAnimalTrackerAcquiredDesc,,buffs,Buff,newKey,You have found animal tracks.\nIf you walk or run you will eventually lose the trail.,,,,,
buffAnimalTrackerDesc,,buffs,Buff,newKey,You are looking for animal tracks.,,,,,
buffAnimalTrackerName,,buffs,Buff,newKey,Animal Tracker,,,,,
buffAnimalTrackerNoneTooltip,,buffs,Buff,newKey,You do not see any tracks around here.,,,,,
buffArmBrokenDesc,,buffs,Buff,newKey,Your arm is broken. A splint could speed up healing.,,,,,
buffArmBrokenName,,buffs,Buff,newKey,Broken Arm,,,,,
buffArmCastDesc,,buffs,Buff,newKey,Your arm is in a cast and will now heal faster.,,,,,
buffArmCastName,,buffs,Buff,newKey,Plaster Cast (Arm),,,,,
buffArmCastTooltip,,buffs,Buff,newKey,Your arm is in a cast and will now heal faster.,,,,,
buffArmorShreddingDesc,,buffs,Buff,newKey,Your armor is temporarily losing protection with every hit.,,,,,
buffArmorShreddingName,,buffs,Buff,newKey,Shredded Armor,,,,,
buffArmorShreddingTooltip,,buffs,Buff,newKey,Your armor is getting shredded!,,,,,
buffArmSplintedDesc,,buffs,Buff,newKey,Your arm is splinted. Give it time to heal.,,,,,
buffArmSplintedName,,buffs,Buff,newKey,Splinted Arm,,,,,
buffArmSprainedDesc,,buffs,Buff,newKey,Your arm is sprained.,,,,,
buffArmSprainedName,,buffs,Buff,newKey,Sprained Arm,,,,,
buffAutoWeaponsCompleteDesc,,buffs,Buff,newKey,Each kill with automatic weapons boosts your run speed by 20%.,,,,,
buffAutoWeaponsCompleteName,,buffs,Buff,newKey,Automatic Weapons - Completion,,,,,
buffBatterUpSlowDownDesc,,buffs,Buff,newKey,You are moving slower,,,,,
buffBatterUpSlowDownName,,buffs,Buff,newKey,You are slowed,,,,,
buffCampfireAOEEffectDesc,,buffs,Buff,newKey,You are warmed by the fire.\n\nCold Resist +15,,,,,
buffCampfireAOEEffectName,,buffs,Buff,newKey,Warming Fire,,,,,
buffDeadEyeDesc,,buffs,Buff,newKey,Successive kills increase the damage bonus.,,,,,
buffDeadEyeName,,buffs,Buff,newKey,Kill Streak,,,,,
buffDoingHealingWrongDesc,,buffs,Buff,newKey,Food can not heal you if your Max Health (black bar) is low.\n\nMedical items like bandages recover Max Health.,,,,,
buffDoingHealingWrongName,,buffs,Buff,newKey,Healing Tip,,,,,
buffDoingHealingWrongTooltip,,buffs,Buff,newKey,Use a bandage. Food can not heal you if your max health is low.,,,,,
buffDrowning01Desc,,buffs,Buff,--,You cannot breathe here.,Vous n'arrivez pas à respirer.,Du kannst hier nicht atmen.,,No puedes respirar aquí.,
buffDrowning01Name,,buffs,Buff,--,Cannot Breathe,Asphyxie,Atemnot,,No puedes respirar,
buffDrowning02Desc,,buffs,Buff,--,You are running out of air.,Vous ne pouvez plus respirer.,Dir geht die Luft aus.,,Te estás quedando sin aire.,
buffDrowning02Tooltip,,buffs,Buff,--,You are running out of air!,Vous ne pouvez plus respirer !,Dir geht die Luft aus!,,¡Casi no te queda aire!,
buffDrowning03Desc,,buffs,Buff,--,You are drowning.,Vous vous noyez.,Du ertrinkst.,,Te estás ahogando.,
buffDrowning03Name,,buffs,Buff,--,Drowning,Noyade,Ertrinken,,Ahogándote,
buffDrugFortBitesSideEffectDesc,,buffs,Buff,newKey,Side effects may include... wanting more of this drug.,,,,,
buffDrugFortBitesSideEffectName,,buffs,Buff,newKey,Fort Bites Side Effects,,,,,
buffDrugFortBitesTooltip,,buffs,Buff,newKey,You feel invincible.,,,,,
buffDrugPainkillersDesc,,buffs,Buff,newKey,You took painkillers. Stuns will affect you less now.,,,,,
buffDrugPainkillersName,,buffs,Buff,newKey,Pain Killers,,,,,
buffDrugRecogSideEffectDesc,,buffs,Buff,newKey,Side effects may include... wanting more of this drug.,,,,,
buffDrugRecogSideEffectName,,buffs,Buff,newKey,Recog Side Effects,,,,,
buffDrugRecogTooltip,,buffs,Buff,newKey,"Cocked, locked, and ready to rock!",,,,,
buffDrugSteroidsSideEffectDesc,,buffs,Buff,newKey,Side effects may include... wanting more of this drug.,,,,,
buffDrugSteroidsSideEffectName,,buffs,Buff,newKey,Steroids Side Effects,,,,,
buffDrunk01Desc,,buffs,Buff,--,A nice buzz.,"Une sensation agréable. Les effets ont une durée limitée, mais vous vous en moquez.","Ein kleiner Rausch. Dies hält vielleicht eine gewisse Zeit an, aber das ist dir egal.",,"Una deliciosa Buzz. Puede que solo sea durante un rato, pero te da igual.",
buffDrunk01Name,,buffs,Buff,--,Buzzed,Boost à la bière,Bierrausch,,Cerveza Buzz,
buffDrunk01Tooltip,,buffs,Buff,--,A nice buzz. You are feeling rowdy.,Une sensation agréable.,Ein kleiner Rausch.,,Una deliciosa Buzz.,
buffDrunk02Desc,,buffs,Buff,--,You are drunk. There may be a duration but you can't figure it out.,"Vous êtes ivre. Les effets ont une durée limitée, mais vous ne la connaissez pas.","Du bist betrunken. Dies hält vielleicht eine gewisse Zeit an, aber du kannst nicht rauskriegen, wie lange.",,"Estás borracho. Puede que solo sea durante un rato, pero no sabes cuánto durará.",
buffDrunk02Name,,buffs,Buff,--,Drunk,Ivresse,Betrunken,,Borracho,
buffDrunk02Tooltip,,buffs,Buff,--,You are drunk.,Vous êtes ivre.,Du bist betrunken.,,Estás borracho.,
buffDrunkGrandpasAwesomeSauceDesc,,buffs,Buff,newKey,It tastes like brass or ass but your hagglin' ability has never been better.\n+20% better deals on stuff.,,,,,
buffDrunkGrandpasAwesomeSauceName,,buffs,Buff,newKey,Grandpas Awesome Sauce,,,,,
buffDrunkGrandpasAwesomeSauceTooltip,,buffs,Buff,newKey,Tastes like brass or ass. Hard to tell.,,,,,
buffDrunkGrandpasLearningElixirDesc,,buffs,Buff,newKey,It burns going down but now you have a clear head for learn'n stuff.\n+20% XP,,,,,
buffDrunkGrandpasLearningElixirName,,buffs,Buff,newKey,Grandpas Learnin' Elixir,,,,,
buffDrunkGrandpasLearningElixirTooltip,,buffs,Buff,newKey,It burns going down...,,,,,
buffDrunkGrandpasMoonshineDesc,,buffs,Buff,newKey,You are drunk as shit. \n+40% melee damage.\n+70% stamina recovery\n100% Stun Resistance\n+50% damage resistance\n+20 health.,,,,,
buffDrunkGrandpasMoonshineName,,buffs,Buff,newKey,Grandpas Moonshine,,,,,
buffDrunkGrandpasMoonshineTooltip,,buffs,Buff,newKey,You are drunk as shit.,,,,,
buffDysentery01GetBetterDesc,,buffs,Buff,newKey,You feel sick to your stomach and have diarrhea. Your symptoms are reduced by medicine.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost.,,,,,
buffDysentery01GetBetterName,,buffs,Buff,newKey,Treated Dysentery,,,,,
buffDysentery01UntreatedDesc,,buffs,Buff,newKey,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.\n\nDiarrhea periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost.,,,,,
buffDysentery01UntreatedName,,buffs,Buff,newKey,Dysentery,,,,,
buffDysentery01UntreatedTooltip,,buffs,Buff,newKey,You feel sick to your stomach and have diarrhea. Goldenrod tea may help.,,,,,
buffDysenteryCureDisplayDesc,,buffs,Buff,newKey,You have taken dysentery medicine which will reduce dysentery that you may be suffering. You can stack dysentery medicines to increase duration.,,,,,
buffDysenteryCureDisplayName,,buffs,Buff,newKey,Dysentery Medicine,,,,,
buffElementColdDesc,,buffs,Buff,newKey,"You are cold. Find clothing, take shelter, equip a torch or build a campfire. When you are cold you will burn more calories.",,,,,
buffElementColdName,,buffs,Buff,newKey,Cold,,,,,
buffElementColdTooltip,,buffs,Buff,newKey,"You are cold. Find clothing, take shelter, equip a torch or build a campfire.",,,,,
buffElementFreezingDesc,,buffs,Buff,--,"You are freezing. Find clothing, take shelter, equip a torch or build a campfire. When you're freezing you will burn more calories.","Vous gelez. Trouvez des vêtements, abritez-vous ou construisez un feu de camp. Lorsque vous gelez, vous brûlez plus de calories.","Du frierst. Finde Kleidung, einen Unterschlupf oder mache ein Lagerfeuer. Wenn du frierst, verbrennst du mehr Kalorien.",,"Te estás congelando. Busca ropa, encuentra un refugio o enciende una fogata. Quemas más calorías cuando te estás congelando.",
buffElementFreezingName,,buffs,Buff,--,Freezing,Gel,Frieren,,Congelándote,
buffElementFreezingTooltip,,buffs,Buff,--,"You are Freezing. Find clothing, take shelter, equip a torch or build a campfire.","Vous gelez. Trouvez des vêtements, abritez-vous ou construisez un feu de camp.","Du frierst. Finde Kleidung, einen Unterschlupf oder mache ein Lagerfeuer.",,"Te estás congelando. Busca ropa, encuentra un refugio o enciende una fogata.",
buffElementHotDesc,,buffs,Buff,newKey,You are hot. Find clothing or take shelter. When you're hot you will get thirsty faster.,,,,,
buffElementHotName,,buffs,Buff,newKey,Hot,,,,,
buffElementHotTooltip,,buffs,Buff,newKey,You are hot. Find clothing or take shelter.,,,,,
buffElementSwelteringDesc,,buffs,Buff,newKey,You are sweltering. Find clothing or take shelter. When you're sweltering you will get thirsty faster.,,,,,
buffElementSwelteringName,,buffs,Buff,newKey,Sweltering,,,,,
buffElementSwelteringTooltip,,buffs,Buff,newKey,You are sweltering.,,,,,
buffElementWetDesc,,buffs,Buff,--,You are wet which will make you colder. This may or may not be a good thing.,"L'humidité va vous refroidir. Cela peut être une bonne chose, ou pas.","Du bist nass, wodurch dir kälter wird. Das kann eine gute Sache sein. Oder auch nicht.",,"Estás mojado, lo que te hace estar frío. Esto puede ser algo bueno, o todo lo contrario",
buffElementWetName,,buffs,Buff,--,Wetness,Humidité,Nässe,,Mojado,
buffElementWetTooltip,,buffs,Buff,--,You are wet.,Vous êtes humide.,Du bist nass.,,Estás mojado.,
buffEncumberedInvDesc,,buffs,Buff,newKey,Moving becomes harder when you are carrying too many items in your inventory. Carry less or unlock more slots with a perk or other means.\n\nThe number is the number of items that are encumbering you.,,,,,
buffEncumberedInvName,,buffs,Buff,newKey,Encumbered,,,,,
buffEncumberedInvTooltip,,buffs,Buff,newKey,You are Encumbered,,,,,
buffGodModeDesc,,buffs,Buff,newKey,You are probably not going to die.,,,,,
buffGodModeName,,buffs,Buff,newKey,God Mode,,,,,
buffGodModeNameShort,,buffs,Buff,newKey,God,,,,,
buffGodModeTooltip,,buffs,Buff,newKey,God Mode Enabled,,,,,
buffHealHealthDesc,,buffs,Buff,newKey,You are recovering health up to your maximum health.\n\nHealth +0.5 / second (food)\nHealth +2 / second (medical items),,,,,
buffHealHealthMaxDesc,,buffs,Buff,newKey,You are recovering from wounds that lowered your maximum health.\n\nMax Health increase per second can be increased by the Physician perk.,,,,,
buffHealHealthMaxName,,buffs,Buff,newKey,Max Health Recovery,,,,,
buffHealHealthName,,buffs,Buff,newKey,Health Recovery,,,,,
buffIllFoodPoisoning01Desc,,buffs,Buff,--,You feel sick to your stomach.,Vous avez la nausée.,Dir ist übel.,,Te duele la barriga.,
buffIllFoodPoisoning01Name,,buffs,Buff,--,Food Poisoning,Intoxication alimentaire,Lebensmittelvergiftung,,Intoxicación alimenticia,
buffInfection01GetBetterDesc,,buffs,Buff,newKey,You have a treated mild infection. Continue medication until infection is cleared up.,,,,,
buffInfection01GetBetterName,,buffs,Buff,newKey,Treated Mild Infection,,,,,
buffInfection01UntreatedDesc,,buffs,Buff,newKey,You have a mild infection. Infection will get worse until treated by antibiotics.,,,,,
buffInfection01UntreatedName,,buffs,Buff,newKey,Mild Infection,,,,,
buffInfection01UntreatedTooltip,,buffs,Buff,newKey,You are infected. Take antibiotics to avoid symptoms.,,,,,
buffInfection02GetBetterDesc,,buffs,Buff,newKey,You have a treated serious infection. Continue medication and keep an eye on the wound.\n\nStamina Regeneration -12.5%,,,,,
buffInfection02GetBetterName,,buffs,Buff,newKey,Treated Infection,,,,,
buffInfection02UntreatedDesc,,buffs,Buff,newKey,You have a serious infection. If left untreated it could lead to severe infection which can cause death. Take antibiotics as soon as possible. \n\nStamina Regeneration -25%,,,,,
buffInfection02UntreatedName,,buffs,Buff,newKey,Infection,,,,,
buffInfection03GetBetterDesc,,buffs,Buff,newKey,You have a treated life threatening severe infection. Continue Medication and avoid contact with infectious substances.\n\nStamina Regeneration -17%\nAll Attributes -1,,,,,
buffInfection03GetBetterName,,buffs,Buff,newKey,Treated Severe Infection,,,,,
buffInfection03UntreatedDesc,,buffs,Buff,newKey,You have a life threatening severe infection. Take antibiotics immediately.\n\nStamina Regeneration -35%\nAll Attributes -1,,,,,
buffInfection03UntreatedName,,buffs,Buff,newKey,Severe infection,,,,,
buffInfection04Tooltip,,buffs,Buff,newKey,You have died from an infection.,,,,,
buffInfectionCureDisplayDesc,,buffs,Buff,newKey,You have taken antibiotic medicine which will reduce infection that you may be suffering. You can stack antibiotic medicines to increase duration.,,,,,
buffInfectionCureDisplayName,,buffs,Buff,newKey,Antibiotic Medicine,,,,,
buffInjuryBleedingDesc,,buffs,Buff,--,"You are bleeding. Use a bandage, first aid bandage or first aid kit to stop the bleeding.","Vous vous videz de votre sang et allez bientôt mourir. Utilisez un bandage, un bandage médical ou une trousse de premiers soins.","Du verblutest und wirst bald sterben. Stoppe die kritische Blutung mit einem Verband, Erste-Hilfe-Verband oder Verbandskasten.",,"Te estás desangrando y morirás pronto. Evita desangrarte usando vendajes, vendajes de primeros auxilios o botiquines de primeros auxilios.",
buffInjuryBleedingName,,buffs,Buff,--,Bleeding,Hémorragie,Verbluten,,Hemorragia,
buffInjuryBleedingSignalDesc,,buffs,Buff,newKey,You have inflicted the maximum amount of Bleeding Wounds on your target. Power attacks with bladed weapons will now do the highest damage they can.,,,,,
buffInjuryBleedingSignalName,,buffs,Buff,newKey,Bleeding Wounds,,,,,
buffInjuryBleedingSignalTooltip,,buffs,Buff,newKey,Your target is bleeding profusely.,,,,,
buffInjuryBleedingTooltip,,buffs,Buff,--,You are bleeding. Use a bandage to stop the bleeding.,Vous vous videz de votre sang. Utilisez un bandage pour arrêter l'hémorragie.,"Du verblutest. Benutze einen Verband, um die Blutung zu stoppen.",,Te estás desangrando. Usa un vendaje para detener la hemorragia.,
buffInjuryKnockdown01Desc,,buffs,Buff,--,You have been knocked down.,Vous subissez un étourdissement.,Du bist gelähmt.,,Estás aturdido.,
buffInjuryKnockdown01Name,,buffs,Buff,--,Knockdown,Étourdissement,Gelähmt,,Aturdido,
